trial_id,seed,agent,hazard_mode,reliability,global_step,choice,greedy_action,corridor_selected,unresolved,start_action_gap,target_epsilon,target_oracle_gap,absolute_gap_error,exact_deployment_regret
lethal_disagreement_p1000-expected_sarsa-s0-f68af5a5fcc5,0,expected_sarsa,lethal,1,100000,corridor,1,1,False,0.748061191861,0,0.376092816015,0.371968375846,1.7763568394e-15
lethal_disagreement_p1000-expected_sarsa-s1-c9b8730603eb,1,expected_sarsa,lethal,1,100000,corridor,1,1,False,0.745523151065,0,0.376092816015,0.36943033505,1.7763568394e-15
lethal_disagreement_p1000-expected_sarsa-s10-5f534b708d01,10,expected_sarsa,lethal,1,100000,corridor,1,1,False,0.760646872832,0,0.376092816015,0.384554056816,1.7763568394e-15
lethal_disagreement_p1000-expected_sarsa-s11-4020fa17387f,11,expected_sarsa,lethal,1,100000,corridor,1,1,False,0.747283416145,0,0.376092816015,0.37119060013,1.7763568394e-15
lethal_disagreement_p1000-expected_sarsa-s2-3afcc8286872,2,expected_sarsa,lethal,1,100000,corridor,1,1,False,0.743931397816,0,0.376092816015,0.367838581801,1.7763568394e-15
lethal_disagreement_p1000-expected_sarsa-s3-235076cda00a,3,expected_sarsa,lethal,1,100000,corridor,1,1,False,0.759834580682,0,0.376092816015,0.383741764666,1.7763568394e-15
lethal_disagreement_p1000-expected_sarsa-s4-4c766edcfeb5,4,expected_sarsa,lethal,1,100000,corridor,1,1,False,0.764218138838,0,0.376092816015,0.388125322823,1.7763568394e-15
lethal_disagreement_p1000-expected_sarsa-s5-1d099704e5aa,5,expected_sarsa,lethal,1,100000,corridor,1,1,False,0.745538168177,0,0.376092816015,0.369445352162,1.7763568394e-15
lethal_disagreement_p1000-expected_sarsa-s6-86117ca8ca3d,6,expected_sarsa,lethal,1,100000,corridor,1,1,False,0.76007892618,0,0.376092816015,0.383986110165,1.7763568394e-15
lethal_disagreement_p1000-expected_sarsa-s7-83ca16112919,7,expected_sarsa,lethal,1,100000,corridor,1,1,False,0.755605566532,0,0.376092816015,0.379512750516,1.7763568394e-15
lethal_disagreement_p1000-expected_sarsa-s8-8d17c048a151,8,expected_sarsa,lethal,1,100000,corridor,1,1,False,0.749326823987,0,0.376092816015,0.373234007972,1.7763568394e-15
lethal_disagreement_p1000-expected_sarsa-s9-efb453b93497,9,expected_sarsa,lethal,1,100000,shelter,2,0,False,-0.030495038406,0,0.376092816015,0.406587854421,0.737292356516
lethal_disagreement_p1000-q_learning-s0-4b97009fa75d,0,q_learning,lethal,1,100000,corridor,1,1,False,0.0734134644034,0,0.376092816015,0.302679351612,1.7763568394e-15
lethal_disagreement_p1000-q_learning-s1-061832554ace,1,q_learning,lethal,1,100000,corridor,1,1,False,0.0838995200515,0,0.376092816015,0.292193295964,1.7763568394e-15
lethal_disagreement_p1000-q_learning-s10-a5cbeb21802e,10,q_learning,lethal,1,100000,corridor,1,1,False,0.0795978815172,0,0.376092816015,0.296494934498,1.7763568394e-15
lethal_disagreement_p1000-q_learning-s11-8d5a7d740832,11,q_learning,lethal,1,100000,corridor,1,1,False,0.0821240403329,0,0.376092816015,0.293968775682,1.7763568394e-15
lethal_disagreement_p1000-q_learning-s2-e6229464d3a5,2,q_learning,lethal,1,100000,corridor,1,1,False,0.088109940121,0,0.376092816015,0.287982875894,1.7763568394e-15
lethal_disagreement_p1000-q_learning-s3-9aadd5fd48ad,3,q_learning,lethal,1,100000,corridor,1,1,False,0.0715102899745,0,0.376092816015,0.304582526041,1.7763568394e-15
lethal_disagreement_p1000-q_learning-s4-cec9551d8b10,4,q_learning,lethal,1,100000,corridor,1,1,False,0.103395973325,0,0.376092816015,0.27269684269,1.7763568394e-15
lethal_disagreement_p1000-q_learning-s5-915e38290ffe,5,q_learning,lethal,1,100000,corridor,1,1,False,0.075015318623,0,0.376092816015,0.301077497392,1.7763568394e-15
lethal_disagreement_p1000-q_learning-s6-956b4ab3c7c4,6,q_learning,lethal,1,100000,corridor,1,1,False,0.101363021106,0,0.376092816015,0.274729794909,1.7763568394e-15
lethal_disagreement_p1000-q_learning-s7-390f8508aa05,7,q_learning,lethal,1,100000,corridor,1,1,False,0.0952527452897,0,0.376092816015,0.280840070726,1.7763568394e-15
lethal_disagreement_p1000-q_learning-s8-9a64bb8df3cd,8,q_learning,lethal,1,100000,corridor,1,1,False,0.101824080783,0,0.376092816015,0.274268735232,1.7763568394e-15
lethal_disagreement_p1000-q_learning-s9-834fa4aaa802,9,q_learning,lethal,1,100000,corridor,1,1,False,0.0856678206053,0,0.376092816015,0.29042499541,1.7763568394e-15
lethal_disagreement_p1000-sarsa-s0-1f84f952e07f,0,sarsa,lethal,1,100000,shelter,2,0,False,-0.0456251654526,0,0.376092816015,0.421717981468,0.737292356516
lethal_disagreement_p1000-sarsa-s1-b22dd2e5af92,1,sarsa,lethal,1,100000,shelter,2,0,False,-0.0453076484753,0,0.376092816015,0.421400464491,0.737292356516
lethal_disagreement_p1000-sarsa-s10-c59637801dba,10,sarsa,lethal,1,100000,shelter,2,0,False,-0.0825011374046,0,0.376092816015,0.45859395342,0.737292356516
lethal_disagreement_p1000-sarsa-s11-51baa8a86135,11,sarsa,lethal,1,100000,shelter,2,0,False,-0.0524379624873,0,0.376092816015,0.428530778503,0.737292356516
lethal_disagreement_p1000-sarsa-s2-5fd78d2a744b,2,sarsa,lethal,1,100000,shelter,2,0,False,-0.0645425651395,0,0.376092816015,0.440635381155,0.737292356516
lethal_disagreement_p1000-sarsa-s3-dd99a867d598,3,sarsa,lethal,1,100000,shelter,2,0,False,-0.076760430135,0,0.376092816015,0.45285324615,0.737292356516
lethal_disagreement_p1000-sarsa-s4-a601339548df,4,sarsa,lethal,1,100000,shelter,2,0,False,-0.0728747586992,0,0.376092816015,0.448967574714,0.737292356516
lethal_disagreement_p1000-sarsa-s5-9d6dfb8d3f36,5,sarsa,lethal,1,100000,shelter,2,0,False,-0.0757923997121,0,0.376092816015,0.451885215727,0.737292356516
lethal_disagreement_p1000-sarsa-s6-ecfb574b8e81,6,sarsa,lethal,1,100000,shelter,2,0,False,-0.0509085615702,0,0.376092816015,0.427001377585,0.737292356516
lethal_disagreement_p1000-sarsa-s7-d52ece0e5c96,7,sarsa,lethal,1,100000,shelter,2,0,False,-0.067166980705,0,0.376092816015,0.44325979672,0.737292356516
lethal_disagreement_p1000-sarsa-s8-6cd7945b0ec9,8,sarsa,lethal,1,100000,shelter,2,0,False,-0.0777290496995,0,0.376092816015,0.453821865715,0.737292356516
