trial_id,seed,agent,hazard_mode,reliability,progress,target_global_step,observed_global_step,step_lag,choice,greedy_action,corridor_selected
recoverable_risky_corridor-expected_sarsa-s0-01e183b86b23,0,expected_sarsa,recoverable,0.84,0.25,25000,25000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-01e183b86b23,0,expected_sarsa,recoverable,0.84,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-01e183b86b23,0,expected_sarsa,recoverable,0.84,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-01e183b86b23,0,expected_sarsa,recoverable,0.84,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-067dc89f79f5,0,expected_sarsa,recoverable,0.835,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-067dc89f79f5,0,expected_sarsa,recoverable,0.835,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-067dc89f79f5,0,expected_sarsa,recoverable,0.835,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-067dc89f79f5,0,expected_sarsa,recoverable,0.835,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-0fbce346af4c,0,expected_sarsa,recoverable,1,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-0fbce346af4c,0,expected_sarsa,recoverable,1,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-0fbce346af4c,0,expected_sarsa,recoverable,1,0.75,75000,75000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-0fbce346af4c,0,expected_sarsa,recoverable,1,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-12be793723c1,0,expected_sarsa,recoverable,0.82,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-12be793723c1,0,expected_sarsa,recoverable,0.82,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-12be793723c1,0,expected_sarsa,recoverable,0.82,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-12be793723c1,0,expected_sarsa,recoverable,0.82,1,100000,100000,0,shelter,2,0
