hazard_mode,agent,reliability,mean,ci_low,ci_high,n_seeds,n_observations
lethal,expected_sarsa,0.97,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.98,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.984,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.986,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.988,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.989,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.9895,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.99,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.991,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.992,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.994,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.996,0,0,0.161125158053,20,20
lethal,expected_sarsa,0.998,0,0,0.161125158053,20,20
lethal,expected_sarsa,1,0,0,0.161125158053,20,20
lethal,q_learning,0.97,0,0,0.161125158053,20,20
lethal,q_learning,0.98,0,0,0.161125158053,20,20
lethal,q_learning,0.984,0,0,0.161125158053,20,20
lethal,q_learning,0.986,0,0,0.161125158053,20,20
lethal,q_learning,0.988,0,0,0.161125158053,20,20
lethal,q_learning,0.989,0,0,0.161125158053,20,20
lethal,q_learning,0.9895,0,0,0.161125158053,20,20
lethal,q_learning,0.99,0,0,0.161125158053,20,20
lethal,q_learning,0.991,0,0,0.161125158053,20,20
lethal,q_learning,0.992,0,0,0.161125158053,20,20
lethal,q_learning,0.994,0,0,0.161125158053,20,20
lethal,q_learning,0.996,0,0,0.161125158053,20,20
lethal,q_learning,0.998,0.2,0.0806576625798,0.416017432252,20,20
lethal,q_learning,1,1,0.838874841947,1,20,20
lethal,sarsa,0.97,0,0,0.161125158053,20,20
lethal,sarsa,0.98,0,0,0.161125158053,20,20
lethal,sarsa,0.984,0,0,0.161125158053,20,20
lethal,sarsa,0.986,0,0,0.161125158053,20,20
lethal,sarsa,0.988,0,0,0.161125158053,20,20
lethal,sarsa,0.989,0,0,0.161125158053,20,20
lethal,sarsa,0.9895,0,0,0.161125158053,20,20
lethal,sarsa,0.99,0,0,0.161125158053,20,20
lethal,sarsa,0.991,0,0,0.161125158053,20,20
lethal,sarsa,0.992,0,0,0.161125158053,20,20
lethal,sarsa,0.994,0,0,0.161125158053,20,20
lethal,sarsa,0.996,0,0,0.161125158053,20,20
lethal,sarsa,0.998,0,0,0.161125158053,20,20
lethal,sarsa,1,0,0,0.161125158053,20,20
recoverable,expected_sarsa,0.6,0,0,0.161125158053,20,20
recoverable,expected_sarsa,0.7,0,0,0.161125158053,20,20
recoverable,expected_sarsa,0.78,0,0,0.161125158053,20,20
recoverable,expected_sarsa,0.79,0,0,0.161125158053,20,20
