trial_id,agent,seed,hazard_mode,reliability,evaluation_policy_mode,episode_return,success,failure,truncation,truncated_episodes,evaluation_episodes,total_episode_steps,hazard_penalty_steps,realized_corridor,penalty_steps_per_1000
lethal_risky_corridor-expected_sarsa-s0-1362b0833414,expected_sarsa,0,lethal,0.998,behavior,7.2272,1,0,0,0,25,322,0,0,0
lethal_risky_corridor-expected_sarsa-s0-1362b0833414,expected_sarsa,0,lethal,0.998,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s0-163ec5233b6e,expected_sarsa,0,lethal,0.986,behavior,7.22,1,0,0,0,25,325,0,0,0
lethal_risky_corridor-expected_sarsa-s0-163ec5233b6e,expected_sarsa,0,lethal,0.986,greedy,7.2728,1,0,0,0,25,303,0,0,0
lethal_risky_corridor-expected_sarsa-s0-545779613dbb,expected_sarsa,0,lethal,0.996,behavior,7.2248,1,0,0,0,25,323,0,0,0
lethal_risky_corridor-expected_sarsa-s0-545779613dbb,expected_sarsa,0,lethal,0.996,greedy,7.2776,1,0,0,0,25,301,0,0,0
lethal_risky_corridor-expected_sarsa-s0-611670abe033,expected_sarsa,0,lethal,0.97,behavior,7.2128,1,0,0,0,25,328,0,0.04,0
lethal_risky_corridor-expected_sarsa-s0-611670abe033,expected_sarsa,0,lethal,0.97,greedy,7.256,1,0,0,0,25,310,0,0.04,0
lethal_risky_corridor-expected_sarsa-s0-6d3c95693b58,expected_sarsa,0,lethal,0.988,behavior,7.22,1,0,0,0,25,325,0,0,0
lethal_risky_corridor-expected_sarsa-s0-6d3c95693b58,expected_sarsa,0,lethal,0.988,greedy,7.2728,1,0,0,0,25,303,0,0,0
lethal_risky_corridor-expected_sarsa-s0-81d019fa76ac,expected_sarsa,0,lethal,0.991,behavior,7.22,1,0,0,0,25,325,0,0,0
lethal_risky_corridor-expected_sarsa-s0-81d019fa76ac,expected_sarsa,0,lethal,0.991,greedy,7.2728,1,0,0,0,25,303,0,0,0
lethal_risky_corridor-expected_sarsa-s0-a1d6fdc711f2,expected_sarsa,0,lethal,0.99,behavior,7.22,1,0,0,0,25,325,0,0,0
lethal_risky_corridor-expected_sarsa-s0-a1d6fdc711f2,expected_sarsa,0,lethal,0.99,greedy,7.2728,1,0,0,0,25,303,0,0,0
lethal_risky_corridor-expected_sarsa-s0-b00fcf5d78e5,expected_sarsa,0,lethal,0.9895,behavior,7.22,1,0,0,0,25,325,0,0,0
lethal_risky_corridor-expected_sarsa-s0-b00fcf5d78e5,expected_sarsa,0,lethal,0.9895,greedy,7.2728,1,0,0,0,25,303,0,0,0
lethal_risky_corridor-expected_sarsa-s0-bcea58efa8a1,expected_sarsa,0,lethal,0.994,behavior,7.2224,1,0,0,0,25,324,0,0,0
lethal_risky_corridor-expected_sarsa-s0-bcea58efa8a1,expected_sarsa,0,lethal,0.994,greedy,7.2752,1,0,0,0,25,302,0,0,0
lethal_risky_corridor-expected_sarsa-s0-cc7ce33c15ea,expected_sarsa,0,lethal,0.989,behavior,7.22,1,0,0,0,25,325,0,0,0
lethal_risky_corridor-expected_sarsa-s0-cc7ce33c15ea,expected_sarsa,0,lethal,0.989,greedy,7.2728,1,0,0,0,25,303,0,0,0
lethal_risky_corridor-expected_sarsa-s0-d7a4f5113986,expected_sarsa,0,lethal,1,behavior,7.2272,1,0,0,0,25,322,0,0,0
lethal_risky_corridor-expected_sarsa-s0-d7a4f5113986,expected_sarsa,0,lethal,1,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s0-edfdcfe309c4,expected_sarsa,0,lethal,0.992,behavior,7.22,1,0,0,0,25,325,0,0,0
lethal_risky_corridor-expected_sarsa-s0-edfdcfe309c4,expected_sarsa,0,lethal,0.992,greedy,7.2728,1,0,0,0,25,303,0,0,0
lethal_risky_corridor-expected_sarsa-s0-f5d8ebfd89ef,expected_sarsa,0,lethal,0.98,behavior,7.2176,1,0,0,0,25,326,0,0,0
lethal_risky_corridor-expected_sarsa-s0-f5d8ebfd89ef,expected_sarsa,0,lethal,0.98,greedy,7.2704,1,0,0,0,25,304,0,0,0
lethal_risky_corridor-expected_sarsa-s0-fdc1b855c990,expected_sarsa,0,lethal,0.984,behavior,7.2176,1,0,0,0,25,326,0,0,0
lethal_risky_corridor-expected_sarsa-s0-fdc1b855c990,expected_sarsa,0,lethal,0.984,greedy,7.2704,1,0,0,0,25,304,0,0,0
lethal_risky_corridor-expected_sarsa-s1-07fd1496cef9,expected_sarsa,1,lethal,0.98,behavior,7.1912,1,0,0,0,25,337,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-07fd1496cef9,expected_sarsa,1,lethal,0.98,greedy,7.256,1,0,0,0,25,310,0,0,0
lethal_risky_corridor-expected_sarsa-s1-08aba59dcbf2,expected_sarsa,1,lethal,0.992,behavior,7.1648,1,0,0,0,25,348,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-08aba59dcbf2,expected_sarsa,1,lethal,0.992,greedy,7.2776,1,0,0,0,25,301,0,0,0
lethal_risky_corridor-expected_sarsa-s1-1bb35484bd49,expected_sarsa,1,lethal,0.998,behavior,7.2272,1,0,0,0,25,322,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-1bb35484bd49,expected_sarsa,1,lethal,0.998,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s1-327c23887a48,expected_sarsa,1,lethal,0.986,behavior,7.2056,1,0,0,0,25,331,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-327c23887a48,expected_sarsa,1,lethal,0.986,greedy,7.2704,1,0,0,0,25,304,0,0,0
lethal_risky_corridor-expected_sarsa-s1-501d7453700f,expected_sarsa,1,lethal,0.984,behavior,7.2032,1,0,0,0,25,332,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-501d7453700f,expected_sarsa,1,lethal,0.984,greedy,7.268,1,0,0,0,25,305,0,0,0
lethal_risky_corridor-expected_sarsa-s1-767c4b06288c,expected_sarsa,1,lethal,0.988,behavior,7.2056,1,0,0,0,25,331,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-767c4b06288c,expected_sarsa,1,lethal,0.988,greedy,7.2704,1,0,0,0,25,304,0,0,0
lethal_risky_corridor-expected_sarsa-s1-a8dd8d510c3a,expected_sarsa,1,lethal,0.989,behavior,7.2104,1,0,0,0,25,329,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-a8dd8d510c3a,expected_sarsa,1,lethal,0.989,greedy,7.2752,1,0,0,0,25,302,0,0,0
lethal_risky_corridor-expected_sarsa-s1-a90874e3b7e4,expected_sarsa,1,lethal,0.991,behavior,7.2128,1,0,0,0,25,328,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-a90874e3b7e4,expected_sarsa,1,lethal,0.991,greedy,7.2776,1,0,0,0,25,301,0,0,0
lethal_risky_corridor-expected_sarsa-s1-b54bcc4c86b1,expected_sarsa,1,lethal,0.996,behavior,7.2152,1,0,0,0,25,327,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-b54bcc4c86b1,expected_sarsa,1,lethal,0.996,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s1-b71d6f1305f2,expected_sarsa,1,lethal,0.9895,behavior,7.2128,1,0,0,0,25,328,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-b71d6f1305f2,expected_sarsa,1,lethal,0.9895,greedy,7.2776,1,0,0,0,25,301,0,0,0
lethal_risky_corridor-expected_sarsa-s1-b8c59afc7818,expected_sarsa,1,lethal,1,behavior,7.2272,1,0,0,0,25,322,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-b8c59afc7818,expected_sarsa,1,lethal,1,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s1-bc7902589eff,expected_sarsa,1,lethal,0.99,behavior,7.2128,1,0,0,0,25,328,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-bc7902589eff,expected_sarsa,1,lethal,0.99,greedy,7.2776,1,0,0,0,25,301,0,0,0
lethal_risky_corridor-expected_sarsa-s1-dd7b00270c69,expected_sarsa,1,lethal,0.994,behavior,7.2152,1,0,0,0,25,327,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-dd7b00270c69,expected_sarsa,1,lethal,0.994,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s1-eaa03a09580f,expected_sarsa,1,lethal,0.97,behavior,7.1888,1,0,0,0,25,338,0,0.04,0
lethal_risky_corridor-expected_sarsa-s1-eaa03a09580f,expected_sarsa,1,lethal,0.97,greedy,7.2464,1,0,0,0,25,314,0,0,0
lethal_risky_corridor-expected_sarsa-s10-119fbdaf778d,expected_sarsa,10,lethal,1,behavior,7.2032,1,0,0,0,25,332,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-119fbdaf778d,expected_sarsa,10,lethal,1,greedy,7.28,1,0,0,0,25,300,0,0,0
lethal_risky_corridor-expected_sarsa-s10-173535f4e90c,expected_sarsa,10,lethal,0.998,behavior,7.196,1,0,0,0,25,335,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-173535f4e90c,expected_sarsa,10,lethal,0.998,greedy,7.2776,1,0,0,0,25,301,0,0,0
lethal_risky_corridor-expected_sarsa-s10-25a22901951d,expected_sarsa,10,lethal,0.989,behavior,7.1864,1,0,0,0,25,339,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-25a22901951d,expected_sarsa,10,lethal,0.989,greedy,7.268,1,0,0,0,25,305,0,0,0
lethal_risky_corridor-expected_sarsa-s10-31c16d79952f,expected_sarsa,10,lethal,0.991,behavior,7.184,1,0,0,0,25,340,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-31c16d79952f,expected_sarsa,10,lethal,0.991,greedy,7.2656,1,0,0,0,25,306,0,0,0
lethal_risky_corridor-expected_sarsa-s10-461a0593599a,expected_sarsa,10,lethal,0.9895,behavior,7.1864,1,0,0,0,25,339,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-461a0593599a,expected_sarsa,10,lethal,0.9895,greedy,7.268,1,0,0,0,25,305,0,0,0
lethal_risky_corridor-expected_sarsa-s10-622edd03144a,expected_sarsa,10,lethal,0.992,behavior,7.1888,1,0,0,0,25,338,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-622edd03144a,expected_sarsa,10,lethal,0.992,greedy,7.2704,1,0,0,0,25,304,0,0,0
lethal_risky_corridor-expected_sarsa-s10-6510dc67e298,expected_sarsa,10,lethal,0.988,behavior,7.1864,1,0,0,0,25,339,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-6510dc67e298,expected_sarsa,10,lethal,0.988,greedy,7.268,1,0,0,0,25,305,0,0,0
lethal_risky_corridor-expected_sarsa-s10-82258a2f6f96,expected_sarsa,10,lethal,0.99,behavior,7.184,1,0,0,0,25,340,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-82258a2f6f96,expected_sarsa,10,lethal,0.99,greedy,7.2656,1,0,0,0,25,306,0,0,0
lethal_risky_corridor-expected_sarsa-s10-a82c88bacd61,expected_sarsa,10,lethal,0.986,behavior,7.1816,1,0,0,0,25,341,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-a82c88bacd61,expected_sarsa,10,lethal,0.986,greedy,7.2656,1,0,0,0,25,306,0,0,0
lethal_risky_corridor-expected_sarsa-s10-b3a857143b82,expected_sarsa,10,lethal,0.98,behavior,7.184,1,0,0,0,25,340,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-b3a857143b82,expected_sarsa,10,lethal,0.98,greedy,7.2608,1,0,0,0,25,308,0,0,0
lethal_risky_corridor-expected_sarsa-s10-bf9cfe1983b3,expected_sarsa,10,lethal,0.994,behavior,7.1912,1,0,0,0,25,337,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-bf9cfe1983b3,expected_sarsa,10,lethal,0.994,greedy,7.2728,1,0,0,0,25,303,0,0,0
lethal_risky_corridor-expected_sarsa-s10-c50d19181443,expected_sarsa,10,lethal,0.996,behavior,7.1936,1,0,0,0,25,336,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-c50d19181443,expected_sarsa,10,lethal,0.996,greedy,7.2776,1,0,0,0,25,301,0,0,0
lethal_risky_corridor-expected_sarsa-s10-d8cb89b043dd,expected_sarsa,10,lethal,0.97,behavior,7.1624,1,0,0,0,25,349,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-d8cb89b043dd,expected_sarsa,10,lethal,0.97,greedy,7.2464,1,0,0,0,25,314,0,0,0
lethal_risky_corridor-expected_sarsa-s10-f8f0821c5afd,expected_sarsa,10,lethal,0.984,behavior,7.1816,1,0,0,0,25,341,0,0.08,0
