hazard_mode,epsilon,reliability,start_action_gap,exact_choice
recoverable,0,0.55,-0.227936842042,shelter
recoverable,0,0.5515,-0.228400444993,shelter
recoverable,0,0.553,-0.228858654671,shelter
recoverable,0,0.5545,-0.229311510157,shelter
recoverable,0,0.556,-0.229759050829,shelter
recoverable,0,0.5575,-0.230201316266,shelter
recoverable,0,0.559,-0.230638346339,shelter
recoverable,0,0.5605,-0.231070181111,shelter
recoverable,0,0.562,-0.231496860928,shelter
recoverable,0,0.5635,-0.231918426334,shelter
recoverable,0,0.565,-0.232334918101,shelter
recoverable,0,0.5665,-0.232746377262,shelter
recoverable,0,0.568,-0.233152845024,shelter
recoverable,0,0.5695,-0.233554362858,shelter
recoverable,0,0.571,-0.233950972404,shelter
recoverable,0,0.5725,-0.234342715559,shelter
recoverable,0,0.574,-0.23472963438,shelter
recoverable,0,0.5755,-0.235111771177,shelter
recoverable,0,0.577,-0.235489168413,shelter
recoverable,0,0.5785,-0.235861868795,shelter
recoverable,0,0.58,-0.23622991518,shelter
recoverable,0,0.5815,-0.236593350662,shelter
recoverable,0,0.583,-0.236952218476,shelter
recoverable,0,0.5845,-0.237306562091,shelter
recoverable,0,0.586,-0.237656425111,shelter
recoverable,0,0.5875,-0.238001851368,shelter
recoverable,0,0.589,-0.238342884821,shelter
recoverable,0,0.5905,-0.238679569655,shelter
recoverable,0,0.592,-0.239011950175,shelter
recoverable,0,0.5935,-0.239340070904,shelter
recoverable,0,0.595,-0.239663976484,shelter
recoverable,0,0.5965,-0.239983711769,shelter
recoverable,0,0.598,-0.240299321724,shelter
recoverable,0,0.5995,-0.240610851524,shelter
recoverable,0,0.601,-0.240918346448,shelter
recoverable,0,0.6025,-0.241221851982,shelter
recoverable,0,0.604,-0.24152141371,shelter
recoverable,0,0.6055,-0.24181707742,shelter
recoverable,0,0.607,-0.242108888992,shelter
recoverable,0,0.6085,-0.242396894493,shelter
recoverable,0,0.61,-0.242681140129,shelter
recoverable,0,0.6115,-0.242961672212,shelter
recoverable,0,0.613,-0.243238537241,shelter
recoverable,0,0.6145,-0.243511781802,shelter
recoverable,0,0.616,-0.243781452665,shelter
recoverable,0,0.6175,-0.244047596685,shelter
recoverable,0,0.619,-0.244310260895,shelter
recoverable,0,0.6205,-0.244569492408,shelter
recoverable,0,0.622,-0.244825338516,shelter
recoverable,0,0.6235,-0.245077846582,shelter
recoverable,0,0.625,-0.245327064135,shelter
recoverable,0,0.6265,-0.245573038824,shelter
recoverable,0,0.628,-0.24581581838,shelter
