hazard_mode,agent,reliability,evaluation_policy_mode,mean,standard_deviation,ci_low,ci_high,n_seeds,n_observations
lethal,expected_sarsa,0.97,behavior,0.444490043166,1.08596861455,0,0.897793066088,20,20
lethal,expected_sarsa,0.97,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.98,behavior,0.300806976912,0.925958548859,0,0.749981906347,20,20
lethal,expected_sarsa,0.98,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.984,behavior,0.148367952522,0.663521655044,0,0.445103857567,20,20
lethal,expected_sarsa,0.984,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.986,behavior,0.147058823529,0.657667052206,0,0.441176470588,20,20
lethal,expected_sarsa,0.986,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.988,behavior,0.149253731343,0.667482978358,0,0.44776119403,20,20
lethal,expected_sarsa,0.988,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.989,behavior,0.149253731343,0.667482978358,0,0.44776119403,20,20
lethal,expected_sarsa,0.989,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.9895,behavior,0.147058823529,0.657667052206,0,0.441176470588,20,20
lethal,expected_sarsa,0.9895,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.99,behavior,0.147058823529,0.657667052206,0,0.441176470588,20,20
lethal,expected_sarsa,0.99,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.991,behavior,0.147058823529,0.657667052206,0,0.441176470588,20,20
lethal,expected_sarsa,0.991,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.992,behavior,0.149700598802,0.669481430389,0,0.449101796407,20,20
lethal,expected_sarsa,0.992,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.994,behavior,0.147492625369,0.659607073009,0,0.442477876106,20,20
lethal,expected_sarsa,0.994,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.996,behavior,0.149700598802,0.669481430389,0,0.449101796407,20,20
lethal,expected_sarsa,0.996,greedy,0.122249388753,0.546715886919,0,0.366748166259,20,20
lethal,expected_sarsa,0.998,behavior,0.61841958471,1.62843710344,0,1.39978942671,20,20
lethal,expected_sarsa,0.998,greedy,0,0,0,0,20,20
lethal,expected_sarsa,1,behavior,0.302139623193,0.930008577705,0,0.756718270776,20,20
lethal,expected_sarsa,1,greedy,0,0,0,0,20,20
lethal,q_learning,0.97,behavior,0.444490043166,1.08596861455,0,0.901193472436,20,20
lethal,q_learning,0.97,greedy,0,0,0,0,20,20
lethal,q_learning,0.98,behavior,0.300806976912,0.925958548859,0,0.754052978215,20,20
lethal,q_learning,0.98,greedy,0,0,0,0,20,20
lethal,q_learning,0.984,behavior,0.148367952522,0.663521655044,0,0.445103857567,20,20
lethal,q_learning,0.984,greedy,0,0,0,0,20,20
lethal,q_learning,0.986,behavior,0.149253731343,0.667482978358,0,0.44776119403,20,20
lethal,q_learning,0.986,greedy,0,0,0,0,20,20
lethal,q_learning,0.988,behavior,0.147058823529,0.657667052206,0,0.441176470588,20,20
lethal,q_learning,0.988,greedy,0,0,0,0,20,20
lethal,q_learning,0.989,behavior,0.147058823529,0.657667052206,0,0.441176470588,20,20
lethal,q_learning,0.989,greedy,0,0,0,0,20,20
lethal,q_learning,0.9895,behavior,0.147058823529,0.657667052206,0,0.441176470588,20,20
lethal,q_learning,0.9895,greedy,0,0,0,0,20,20
