hazard_mode,agent,reliability,evaluation_policy_mode,mean,standard_deviation,ci_low,ci_high,n_seeds,n_observations
lethal,expected_sarsa,0.97,behavior,0.006,0.0146539019413,0,0.014,20,20
lethal,expected_sarsa,0.97,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.98,behavior,0.004,0.012311740225,0,0.01,20,20
lethal,expected_sarsa,0.98,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.984,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,expected_sarsa,0.984,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.986,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,expected_sarsa,0.986,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.988,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,expected_sarsa,0.988,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.989,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,expected_sarsa,0.989,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.9895,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,expected_sarsa,0.9895,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.99,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,expected_sarsa,0.99,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.991,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,expected_sarsa,0.991,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.992,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,expected_sarsa,0.992,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.994,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,expected_sarsa,0.994,greedy,0,0,0,0,20,20
lethal,expected_sarsa,0.996,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,expected_sarsa,0.996,greedy,0.002,0.00894427191,0,0.006,20,20
lethal,expected_sarsa,0.998,behavior,0.008,0.0209259345512,0,0.018,20,20
lethal,expected_sarsa,0.998,greedy,0,0,0,0,20,20
lethal,expected_sarsa,1,behavior,0.004,0.012311740225,0,0.01,20,20
lethal,expected_sarsa,1,greedy,0,0,0,0,20,20
lethal,q_learning,0.97,behavior,0.006,0.0146539019413,0,0.012,20,20
lethal,q_learning,0.97,greedy,0,0,0,0,20,20
lethal,q_learning,0.98,behavior,0.004,0.012311740225,0,0.01,20,20
lethal,q_learning,0.98,greedy,0,0,0,0,20,20
lethal,q_learning,0.984,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,q_learning,0.984,greedy,0,0,0,0,20,20
lethal,q_learning,0.986,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,q_learning,0.986,greedy,0,0,0,0,20,20
lethal,q_learning,0.988,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,q_learning,0.988,greedy,0,0,0,0,20,20
lethal,q_learning,0.989,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,q_learning,0.989,greedy,0,0,0,0,20,20
lethal,q_learning,0.9895,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,q_learning,0.9895,greedy,0,0,0,0,20,20
lethal,q_learning,0.99,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,q_learning,0.99,greedy,0,0,0,0,20,20
lethal,q_learning,0.991,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,q_learning,0.991,greedy,0,0,0,0,20,20
lethal,q_learning,0.992,behavior,0.004,0.012311740225,0,0.01,20,20
lethal,q_learning,0.992,greedy,0,0,0,0,20,20
lethal,q_learning,0.994,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,q_learning,0.994,greedy,0,0,0,0,20,20
lethal,q_learning,0.996,behavior,0.006,0.0146539019413,0,0.012,20,20
lethal,q_learning,0.996,greedy,0,0,0,0,20,20
lethal,q_learning,0.998,behavior,0.058,0.120682270969,0.012,0.116,20,20
lethal,q_learning,0.998,greedy,0.002,0.00894427191,0,0.006,20,20
lethal,q_learning,1,behavior,0.234,0.0892306296243,0.19595,0.274,20,20
lethal,q_learning,1,greedy,0,0,0,0,20,20
lethal,sarsa,0.97,behavior,0.006,0.0146539019413,0,0.012,20,20
lethal,sarsa,0.97,greedy,0,0,0,0,20,20
lethal,sarsa,0.98,behavior,0.004,0.012311740225,0,0.01,20,20
lethal,sarsa,0.98,greedy,0,0,0,0,20,20
lethal,sarsa,0.984,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,sarsa,0.984,greedy,0,0,0,0,20,20
lethal,sarsa,0.986,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,sarsa,0.986,greedy,0,0,0,0,20,20
lethal,sarsa,0.988,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,sarsa,0.988,greedy,0,0,0,0,20,20
lethal,sarsa,0.989,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,sarsa,0.989,greedy,0,0,0,0,20,20
lethal,sarsa,0.9895,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,sarsa,0.9895,greedy,0,0,0,0,20,20
lethal,sarsa,0.99,behavior,0.012,0.0451430474917,0,0.034,20,20
lethal,sarsa,0.99,greedy,0,0,0,0,20,20
lethal,sarsa,0.991,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,sarsa,0.991,greedy,0,0,0,0,20,20
lethal,sarsa,0.992,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,sarsa,0.992,greedy,0,0,0,0,20,20
lethal,sarsa,0.994,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,sarsa,0.994,greedy,0,0,0,0,20,20
lethal,sarsa,0.996,behavior,0.004,0.01788854382,0,0.012,20,20
lethal,sarsa,0.996,greedy,0,0,0,0,20,20
lethal,sarsa,0.998,behavior,0.004,0.012311740225,0,0.01,20,20
lethal,sarsa,0.998,greedy,0,0,0,0,20,20
lethal,sarsa,1,behavior,0.002,0.00894427191,0,0.006,20,20
lethal,sarsa,1,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.6,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.6,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.7,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.7,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.78,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.78,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.79,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.79,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.8,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.8,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.805,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.805,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.81,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.81,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.82,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.82,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.825,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.825,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.835,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.835,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.84,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.84,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.845,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.845,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.85,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.85,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.855,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.855,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.86,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.86,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.88,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.88,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.9,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,0.9,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,1,behavior,0,0,0,0,20,20
recoverable,expected_sarsa,1,greedy,0,0,0,0,20,20
recoverable,q_learning,0.6,behavior,0,0,0,0,20,20
recoverable,q_learning,0.6,greedy,0,0,0,0,20,20
recoverable,q_learning,0.7,behavior,0,0,0,0,20,20
recoverable,q_learning,0.7,greedy,0,0,0,0,20,20
recoverable,q_learning,0.78,behavior,0,0,0,0,20,20
recoverable,q_learning,0.78,greedy,0,0,0,0,20,20
recoverable,q_learning,0.79,behavior,0,0,0,0,20,20
recoverable,q_learning,0.79,greedy,0,0,0,0,20,20
recoverable,q_learning,0.8,behavior,0,0,0,0,20,20
recoverable,q_learning,0.8,greedy,0,0,0,0,20,20
recoverable,q_learning,0.805,behavior,0,0,0,0,20,20
recoverable,q_learning,0.805,greedy,0,0,0,0,20,20
recoverable,q_learning,0.81,behavior,0,0,0,0,20,20
recoverable,q_learning,0.81,greedy,0,0,0,0,20,20
recoverable,q_learning,0.82,behavior,0,0,0,0,20,20
recoverable,q_learning,0.82,greedy,0,0,0,0,20,20
recoverable,q_learning,0.825,behavior,0,0,0,0,20,20
recoverable,q_learning,0.825,greedy,0,0,0,0,20,20
recoverable,q_learning,0.835,behavior,0,0,0,0,20,20
recoverable,q_learning,0.835,greedy,0,0,0,0,20,20
recoverable,q_learning,0.84,behavior,0,0,0,0,20,20
recoverable,q_learning,0.84,greedy,0,0,0,0,20,20
recoverable,q_learning,0.845,behavior,0,0,0,0,20,20
recoverable,q_learning,0.845,greedy,0,0,0,0,20,20
recoverable,q_learning,0.85,behavior,0,0,0,0,20,20
