hazard_mode,agent,progress,half_boundary,monotonicity_violations
lethal,expected_sarsa,0.25,,0
lethal,expected_sarsa,0.5,,0
lethal,expected_sarsa,0.75,,0
lethal,expected_sarsa,1,,0
lethal,q_learning,0.25,0.998571428571,0
lethal,q_learning,0.5,0.998823529412,0
lethal,q_learning,0.75,0.998823529412,0
lethal,q_learning,1,0.99875,0
lethal,sarsa,0.25,,0
lethal,sarsa,0.5,,0
lethal,sarsa,0.75,,0
lethal,sarsa,1,,0
recoverable,expected_sarsa,0.25,0.78,4
recoverable,expected_sarsa,0.5,0.84375,2
recoverable,expected_sarsa,0.75,0.8575,0
recoverable,expected_sarsa,1,0.8525,1
recoverable,q_learning,0.25,0.785,2
recoverable,q_learning,0.5,0.82125,0
recoverable,q_learning,0.75,0.8225,1
recoverable,q_learning,1,0.8225,0
recoverable,sarsa,0.25,0.795,1
recoverable,sarsa,0.5,0.85,3
recoverable,sarsa,0.75,0.855,1
recoverable,sarsa,1,0.848,2
