hazard_mode,agent,reliability,mean,standard_deviation,ci_low,ci_high,n_seeds,n_observations
lethal,expected_sarsa,0.97,0.000273086832794,0.000604077860907,2.98780707785e-05,0.000595216715041,20,20
lethal,expected_sarsa,0.98,0.000667401780227,0.00108228751441,0.000264169659669,0.00116983732341,20,20
lethal,expected_sarsa,0.984,0.000768893055454,0.000531561638943,0.000540848635587,0.000990155657007,20,20
lethal,expected_sarsa,0.986,0.0013892597445,0.000392535146842,0.00123537113128,0.00156738454503,20,20
lethal,expected_sarsa,0.988,0.00203656756041,0.00035092345141,0.00188939043354,0.00218893927499,20,20
lethal,expected_sarsa,0.989,0.00214401291428,0.000544564763127,0.00187539771915,0.00232603915345,20,20
lethal,expected_sarsa,0.9895,0.0260284729631,0.000395953913177,0.0258486266434,0.0261771248984,20,20
lethal,expected_sarsa,0.99,0.0588759116821,0.000268265271372,0.0587655394515,0.0589957898772,20,20
lethal,expected_sarsa,0.991,0.124989132897,0.000449213691857,0.124774051458,0.125135542551,20,20
lethal,expected_sarsa,0.992,0.193339523203,0.00765967973208,0.191415776614,0.196877873299,20,20
lethal,expected_sarsa,0.994,0.325749004748,0.000759977805594,0.325422590882,0.326051734097,20,20
lethal,expected_sarsa,0.996,0.462602984161,0.00386551500957,0.461581215628,0.464392220405,20,20
lethal,expected_sarsa,0.998,0.599227919862,0.00207802577813,0.598640461879,0.600210375612,20,20
lethal,expected_sarsa,1,0.737292356516,0,0.737292356516,0.737292356516,20,20
lethal,q_learning,0.97,0.000541063427715,0.00133348095103,5.97521590007e-05,0.00120033648811,20,20
lethal,q_learning,0.98,0.000258867451532,0.000593461133013,2.75451521411e-05,0.000538121363743,20,20
lethal,q_learning,0.984,0.000508578633858,0.000475346560483,0.000321323276103,0.000721507353725,20,20
lethal,q_learning,0.986,0.0039254070231,0.0117239868191,0.00117492996239,0.00923088687701,20,20
lethal,q_learning,0.988,0.001865838766,0.000315173797415,0.00174517116686,0.00200844917129,20,20
lethal,q_learning,0.989,0.00190735367172,0.000578688977316,0.00163155339308,0.00213738160886,20,20
lethal,q_learning,0.9895,0.0261211134888,0.000283844299858,0.0260049057969,0.0262478235797,20,20
lethal,q_learning,0.99,0.0589656500572,0.000252952095681,0.0588575833519,0.0590785997225,20,20
lethal,q_learning,0.991,0.124961593708,0.000487863664386,0.124706842613,0.125123487437,20,20
lethal,q_learning,0.992,0.191579092322,0.000668041017126,0.191271826046,0.191851201832,20,20
lethal,q_learning,0.994,0.325734426773,0.000723571804124,0.325363714638,0.326013203472,20,20
lethal,q_learning,0.996,0.464379365796,0.00632725337943,0.461886803153,0.467188173438,20,20
lethal,q_learning,0.998,0.479854467768,0.246007956963,0.360144065869,0.570423950943,20,20
lethal,q_learning,1,1.7763568394e-15,0,1.7763568394e-15,1.7763568394e-15,20,20
lethal,sarsa,0.97,0.00017931654596,0.000649340502723,2.21740929495e-05,0.000481945601533,20,20
lethal,sarsa,0.98,0.000154602166422,0.000343166153277,2.21179266615e-05,0.000317548491393,20,20
lethal,sarsa,0.984,0.000374608196887,0.000409491408658,0.000214429008121,0.000564718907605,20,20
lethal,sarsa,0.986,0.0014056334595,0.000411388566333,0.00123558835027,0.0015887205798,20,20
lethal,sarsa,0.988,0.00194499210191,0.000474844621485,0.00177427787692,0.00217104202299,20,20
lethal,sarsa,0.989,0.00200359356158,0.000690727637655,0.00170841512798,0.0023208641368,20,20
lethal,sarsa,0.9895,0.0260429201621,0.000212290312738,0.0259522103549,0.0261379786125,20,20
lethal,sarsa,0.99,0.410160537201,1.56237473195,0.0588002138498,1.10921557145,20,20
lethal,sarsa,0.991,0.128600793901,0.0108191561784,0.125058565353,0.133860933496,20,20
lethal,sarsa,0.992,0.193643384322,0.00876870402707,0.191650816821,0.197589573541,20,20
lethal,sarsa,0.994,0.325931947553,0.000425639628475,0.325733821691,0.326045731597,20,20
lethal,sarsa,0.996,0.461762612327,0.000531274565616,0.461508292678,0.461956514615,20,20
lethal,sarsa,0.998,0.598925033859,0.000287203723425,0.598784954554,0.599020319064,20,20
lethal,sarsa,1,0.737292356516,0,0.737292356516,0.737292356516,20,20
recoverable,expected_sarsa,0.6,0.0302912623887,0.0630604001541,0.0111258465061,0.0623889536536,20,20
recoverable,expected_sarsa,0.7,0.0647514954434,0.139337371585,0.0181873616096,0.126428294897,20,20
recoverable,expected_sarsa,0.78,0.0076098465314,0.00980315610099,0.00407354416824,0.0124827021711,20,20
recoverable,expected_sarsa,0.79,0.0101843960175,0.0124549042969,0.00535835534013,0.0159072838809,20,20
recoverable,expected_sarsa,0.8,0.0054086577114,0.00699162134477,0.00284051516312,0.0086361591623,20,20
recoverable,expected_sarsa,0.805,0.00505428682935,0.0055779822203,0.0028892481487,0.00750084404931,20,20
recoverable,expected_sarsa,0.81,0.0211140665133,0.00964375217859,0.0177060859224,0.0256852488531,20,20
recoverable,expected_sarsa,0.82,0.0615280669719,0.00791488111292,0.0585983338341,0.0653073345174,20,20
recoverable,expected_sarsa,0.825,0.0724665964612,0.0163508316397,0.0649018629458,0.0781865497757,20,20
recoverable,expected_sarsa,0.835,0.103311337799,0.0350741413821,0.0870647433383,0.116839286198,20,20
recoverable,expected_sarsa,0.84,0.102219719605,0.0530232364491,0.0793685827915,0.124321216146,20,20
recoverable,expected_sarsa,0.845,0.115833616979,0.0624733558205,0.086449502951,0.141150290652,20,20
recoverable,expected_sarsa,0.85,0.12165590859,0.0825492862931,0.0861294858568,0.156657968953,20,20
recoverable,expected_sarsa,0.855,0.0853551636984,0.0890078274968,0.0471707783988,0.121950704998,20,20
recoverable,expected_sarsa,0.86,0.062492138725,0.0855762875423,0.0289172335989,0.101213037789,20,20
recoverable,expected_sarsa,0.88,0.0349772180173,0.0855864722289,0.00536487978157,0.0759741551274,20,20
recoverable,expected_sarsa,0.9,0.00327301583223,0.00538148880187,0.00108824363036,0.00590514304881,20,20
recoverable,expected_sarsa,1,1.7763568394e-15,0,1.7763568394e-15,1.7763568394e-15,20,20
