hazard_mode,agent,reliability,evaluation_policy_mode,mean,standard_deviation,ci_low,ci_high,n_seeds,n_observations
lethal,expected_sarsa,0.97,behavior,7.08008,0.229775601288,6.961797,7.169723,20,20
lethal,expected_sarsa,0.97,greedy,7.25432,0.0106793258214,7.24976,7.25876,20,20
lethal,expected_sarsa,0.98,behavior,7.12216,0.192441439897,7.031428,7.187483,20,20
lethal,expected_sarsa,0.98,greedy,7.26224,0.00843691138298,7.258517,7.2656,20,20
lethal,expected_sarsa,0.984,behavior,7.15776,0.143680018755,7.090751,7.19492,20,20
lethal,expected_sarsa,0.984,greedy,7.2668,0.00667564307961,7.2638,7.26944,20,20
lethal,expected_sarsa,0.986,behavior,7.15764,0.145242470228,7.090391,7.1948,20,20
lethal,expected_sarsa,0.986,greedy,7.26776,0.00646337047482,7.265117,7.27052,20,20
lethal,expected_sarsa,0.988,behavior,7.15968,0.142895506909,7.092557,7.19648,20,20
lethal,expected_sarsa,0.988,greedy,7.2698,0.00491699523136,7.26764,7.27184,20,20
lethal,expected_sarsa,0.989,behavior,7.16076,0.143206345052,7.093754,7.19756,20,20
lethal,expected_sarsa,0.989,greedy,7.27064,0.00504030074291,7.26848,7.2728,20,20
lethal,expected_sarsa,0.9895,behavior,7.16112,0.146168329783,7.09376,7.199003,20,20
lethal,expected_sarsa,0.9895,greedy,7.27088,0.00525813655205,7.2686,7.27316,20,20
lethal,expected_sarsa,0.99,behavior,7.16016,0.145892499717,7.0928,7.1978,20,20
lethal,expected_sarsa,0.99,greedy,7.27064,0.00544507503211,7.26824,7.27292,20,20
lethal,expected_sarsa,0.991,behavior,7.16136,0.146220102297,7.09424,7.19912,20,20
lethal,expected_sarsa,0.991,greedy,7.27124,0.00512233499387,7.26896,7.2734,20,20
lethal,expected_sarsa,0.992,behavior,7.15944,0.142427933393,7.091354,7.19636,20,20
lethal,expected_sarsa,0.992,greedy,7.27196,0.00506280554633,7.2698,7.27412,20,20
lethal,expected_sarsa,0.994,behavior,7.16436,0.146274084477,7.09616,7.20212,20,20
lethal,expected_sarsa,0.994,greedy,7.27472,0.00393975687201,7.27304,7.2764,20,20
lethal,expected_sarsa,0.996,behavior,7.16748,0.144408374156,7.10036,7.205726,20,20
lethal,expected_sarsa,0.996,greedy,7.23228,0.200997977471,7.14188,7.27808,20,20
lethal,expected_sarsa,0.998,behavior,7.07808,0.328232769781,6.917597,7.201406,20,20
lethal,expected_sarsa,0.998,greedy,7.27832,0.00192315530205,7.27748,7.27904,20,20
lethal,expected_sarsa,1,behavior,7.14412,0.198520044328,7.044757,7.211483,20,20
lethal,expected_sarsa,1,greedy,7.28,9.11251831402e-16,7.28,7.28,20,20
lethal,q_learning,0.97,behavior,7.07996,0.229730969431,6.979271,7.172483,20,20
lethal,q_learning,0.97,greedy,7.25432,0.0106793258214,7.24976,7.258883,20,20
lethal,q_learning,0.98,behavior,7.12192,0.19236638726,7.029394,7.18724,20,20
lethal,q_learning,0.98,greedy,7.26212,0.00861733870263,7.25828,7.265603,20,20
lethal,q_learning,0.984,behavior,7.15692,0.143428168708,7.089434,7.19408,20,20
lethal,q_learning,0.984,greedy,7.26692,0.00653682684972,7.26392,7.26968,20,20
lethal,q_learning,0.986,behavior,7.15848,0.142619794891,7.092317,7.19504,20,20
lethal,q_learning,0.986,greedy,7.26776,0.00646337047482,7.26488,7.27028,20,20
lethal,q_learning,0.988,behavior,7.15908,0.145563968937,7.091357,7.19624,20,20
lethal,q_learning,0.988,greedy,7.2698,0.00491699523136,7.26776,7.27184,20,20
lethal,q_learning,0.989,behavior,7.16196,0.146124785894,7.094714,7.19924,20,20
lethal,q_learning,0.989,greedy,7.27064,0.00504030074291,7.268477,7.27268,20,20
lethal,q_learning,0.9895,behavior,7.16052,0.145971596372,7.090877,7.19804,20,20
lethal,q_learning,0.9895,greedy,7.27088,0.00525813655205,7.26848,7.27316,20,20
lethal,q_learning,0.99,behavior,7.16088,0.143246896173,7.094237,7.1978,20,20
lethal,q_learning,0.99,greedy,7.27064,0.00544507503211,7.26836,7.2728,20,20
lethal,q_learning,0.991,behavior,7.16208,0.143574200878,7.09448,7.19924,20,20
lethal,q_learning,0.991,greedy,7.27124,0.00512233499387,7.26896,7.2734,20,20
lethal,q_learning,0.992,behavior,7.1296,0.200392877277,7.03156,7.19672,20,20
lethal,q_learning,0.992,greedy,7.27196,0.00506280554633,7.2698,7.274,20,20
lethal,q_learning,0.994,behavior,7.16556,0.143864608866,7.0982,7.2026,20,20
lethal,q_learning,0.994,greedy,7.27544,0.00439789423295,7.27352,7.27736,20,20
lethal,q_learning,0.996,behavior,7.09808,0.251039895341,6.992828,7.198643,20,20
lethal,q_learning,0.996,greedy,7.27688,0.00292387630237,7.27556,7.27808,20,20
lethal,q_learning,0.998,behavior,6.34396,1.80392906337,5.533087,7.03391,20,20
lethal,q_learning,0.998,greedy,7.29516,0.129921751349,7.2394,7.350563,20,20
lethal,q_learning,1,behavior,3.7868,1.40851049358,3.175633,4.389061,20,20
lethal,q_learning,1,greedy,7.52,9.11251831402e-16,7.52,7.52,20,20
lethal,sarsa,0.97,behavior,7.07984,0.230332533982,6.979397,7.168892,20,20
lethal,sarsa,0.97,greedy,7.25432,0.0106793258214,7.24976,7.258643,20,20
lethal,sarsa,0.98,behavior,7.12216,0.192441439897,7.029991,7.187603,20,20
lethal,sarsa,0.98,greedy,7.26224,0.00843691138298,7.2584,7.2656,20,20
lethal,sarsa,0.984,behavior,7.15704,0.143450906328,7.090517,7.19432,20,20
lethal,sarsa,0.984,greedy,7.2668,0.00667564307961,7.26404,7.26956,20,20
lethal,sarsa,0.986,behavior,7.15824,0.142574369882,7.089674,7.19516,20,20
lethal,sarsa,0.986,greedy,7.26776,0.00646337047482,7.26488,7.2704,20,20
lethal,sarsa,0.988,behavior,7.15944,0.142839558136,7.093277,7.195883,20,20
lethal,sarsa,0.988,greedy,7.2698,0.00491699523136,7.26764,7.27184,20,20
lethal,sarsa,0.989,behavior,7.16232,0.144025705308,7.094834,7.200923,20,20
lethal,sarsa,0.989,greedy,7.27064,0.00504030074291,7.26848,7.27268,20,20
lethal,sarsa,0.9895,behavior,7.16112,0.143304378308,7.09496,7.19816,20,20
lethal,sarsa,0.9895,greedy,7.27088,0.00525813655205,7.26848,7.27304,20,20
lethal,sarsa,0.99,behavior,6.91124,1.11960262048,6.381034,7.19624,20,20
lethal,sarsa,0.99,greedy,6.87824,1.75606048283,6.09188,7.27268,20,20
lethal,sarsa,0.991,behavior,7.16076,0.145492725085,7.09196,7.19876,20,20
lethal,sarsa,0.991,greedy,7.27124,0.00512233499387,7.26908,7.27352,20,20
lethal,sarsa,0.992,behavior,7.16124,0.14559340066,7.091825,7.19888,20,20
lethal,sarsa,0.992,greedy,7.27196,0.00506280554633,7.269797,7.274003,20,20
lethal,sarsa,0.994,behavior,7.16496,0.143606151459,7.09772,7.201763,20,20
lethal,sarsa,0.994,greedy,7.27472,0.00393975687201,7.27292,7.2764,20,20
lethal,sarsa,0.996,behavior,7.13608,0.278458300006,7.00892,7.2026,20,20
lethal,sarsa,0.996,greedy,7.27664,0.00360210464794,7.27496,7.27808,20,20
lethal,sarsa,0.998,behavior,7.13704,0.197533779656,7.042,7.20332,20,20
lethal,sarsa,0.998,greedy,7.27832,0.00192315530205,7.27748,7.27904,20,20
lethal,sarsa,1,behavior,7.17072,0.144783924667,7.103354,7.20752,20,20
lethal,sarsa,1,greedy,7.28,9.11251831402e-16,7.28,7.28,20,20
recoverable,expected_sarsa,0.6,behavior,6.25872,0.200064225477,6.17252,6.344903,20,20
recoverable,expected_sarsa,0.6,greedy,6.52236,0.110138966765,6.474919,6.566901,20,20
recoverable,expected_sarsa,0.7,behavior,6.57284,0.198061421627,6.486628,6.653523,20,20
recoverable,expected_sarsa,0.7,greedy,6.76032,0.157690788704,6.689514,6.820647,20,20
recoverable,expected_sarsa,0.78,behavior,6.819,0.122457881051,6.768584,6.869687,20,20
recoverable,expected_sarsa,0.78,greedy,6.97036,0.0867122913645,6.929355,7.005562,20,20
recoverable,expected_sarsa,0.79,behavior,6.84628,0.111096589554,6.796997,6.891768,20,20
recoverable,expected_sarsa,0.79,greedy,6.97724,0.144467655823,6.90906,7.027121,20,20
recoverable,expected_sarsa,0.8,behavior,6.8792,0.0839637014304,6.841474,6.914124,20,20
recoverable,expected_sarsa,0.8,greedy,7.03052,0.0658655856151,7.002515,7.057688,20,20
recoverable,expected_sarsa,0.805,behavior,6.88628,0.0838626546331,6.849665,6.92344,20,20
recoverable,expected_sarsa,0.805,greedy,7.02732,0.0714657488813,6.996636,7.056449,20,20
recoverable,expected_sarsa,0.81,behavior,6.85396,0.182565847962,6.763516,6.922161,20,20
recoverable,expected_sarsa,0.81,greedy,6.98212,0.167678745475,6.907799,7.048012,20,20
recoverable,expected_sarsa,0.82,behavior,6.9184,0.100892856145,6.872676,6.960053,20,20
recoverable,expected_sarsa,0.82,greedy,7.06924,0.0484292908324,7.048636,7.089165,20,20
recoverable,expected_sarsa,0.825,behavior,6.88916,0.143730853736,6.819829,6.947642,20,20
recoverable,expected_sarsa,0.825,greedy,7.04444,0.0906686181421,7.003397,7.081363,20,20
recoverable,expected_sarsa,0.835,behavior,6.88632,0.191102798459,6.800439,6.963101,20,20
recoverable,expected_sarsa,0.835,greedy,7.0584,0.104482766144,7.009517,7.097886,20,20
recoverable,expected_sarsa,0.84,behavior,6.83024,0.247823448192,6.718574,6.930218,20,20
recoverable,expected_sarsa,0.84,greedy,7.0138,0.144329418528,6.950999,7.07216,20,20
recoverable,expected_sarsa,0.845,behavior,6.865,0.220569654829,6.764238,6.952884,20,20
recoverable,expected_sarsa,0.845,greedy,7.03092,0.145403748594,6.965111,7.087606,20,20
recoverable,expected_sarsa,0.85,behavior,6.84204,0.211686596548,6.75585,6.926565,20,20
recoverable,expected_sarsa,0.85,greedy,7.01492,0.137745155995,6.953299,7.072085,20,20
recoverable,expected_sarsa,0.855,behavior,6.76752,0.198839987506,6.683279,6.852283,20,20
recoverable,expected_sarsa,0.855,greedy,6.9882,0.12822923552,6.935999,7.041043,20,20
recoverable,expected_sarsa,0.86,behavior,6.728,0.21848165044,6.636629,6.818973,20,20
recoverable,expected_sarsa,0.86,greedy,6.98084,0.106114686716,6.93744,7.027721,20,20
recoverable,expected_sarsa,0.88,behavior,6.77208,0.18818739149,6.692021,6.852262,20,20
recoverable,expected_sarsa,0.88,greedy,7.04552,0.0903807711268,7.005753,7.08196,20,20
recoverable,expected_sarsa,0.9,behavior,6.84248,0.153458026492,6.775343,6.904325,20,20
recoverable,expected_sarsa,0.9,greedy,7.10656,0.0770629708335,7.069871,7.13816,20,20
recoverable,expected_sarsa,1,behavior,7.27996,0.10838356061,7.230359,7.323771,20,20
recoverable,expected_sarsa,1,greedy,7.52,9.11251831402e-16,7.52,7.52,20,20
recoverable,q_learning,0.6,behavior,6.30208,0.20010109445,6.215943,6.381523,20,20
recoverable,q_learning,0.6,greedy,6.50708,0.141789887547,6.44663,6.565244,20,20
recoverable,q_learning,0.7,behavior,6.70992,0.0841373913999,6.671031,6.747042,20,20
recoverable,q_learning,0.7,greedy,6.85932,0.0622477359554,6.830235,6.884962,20,20
recoverable,q_learning,0.78,behavior,6.8108,0.118474656406,6.761278,6.858001,20,20
recoverable,q_learning,0.78,greedy,6.97144,0.0874451792177,6.931759,7.006729,20,20
recoverable,q_learning,0.79,behavior,6.85356,0.105003250075,6.80704,6.897612,20,20
recoverable,q_learning,0.79,greedy,7.01192,0.0708492365223,6.980199,7.040241,20,20
recoverable,q_learning,0.8,behavior,6.88612,0.0972287243674,6.844072,6.927441,20,20
recoverable,q_learning,0.8,greedy,7.03216,0.0714508178289,7.00091,7.0616,20,20
recoverable,q_learning,0.805,behavior,6.8312,0.212855869199,6.731047,6.909325,20,20
recoverable,q_learning,0.805,greedy,6.97656,0.175567526071,6.902485,7.043648,20,20
recoverable,q_learning,0.81,behavior,6.76508,0.254230367146,6.650155,6.867841,20,20
