hazard_mode,agent,reliability,changed_choice_fraction,changed_corridor_indicator_fraction,n_seeds,changed_fraction
lethal,expected_sarsa,0.97,0,0,20,0
lethal,expected_sarsa,0.98,0,0,20,0
lethal,expected_sarsa,0.984,0,0,20,0
lethal,expected_sarsa,0.986,0,0,20,0
lethal,expected_sarsa,0.988,0,0,20,0
lethal,expected_sarsa,0.989,0,0,20,0
lethal,expected_sarsa,0.9895,0,0,20,0
lethal,expected_sarsa,0.99,0,0,20,0
lethal,expected_sarsa,0.991,0,0,20,0
lethal,expected_sarsa,0.992,0,0,20,0
lethal,expected_sarsa,0.994,0,0,20,0
lethal,expected_sarsa,0.996,0,0,20,0
lethal,expected_sarsa,0.998,0,0,20,0
lethal,expected_sarsa,1,0,0,20,0
lethal,q_learning,0.97,0,0,20,0
lethal,q_learning,0.98,0,0,20,0
lethal,q_learning,0.984,0,0,20,0
lethal,q_learning,0.986,0,0,20,0
lethal,q_learning,0.988,0,0,20,0
lethal,q_learning,0.989,0,0,20,0
lethal,q_learning,0.9895,0,0,20,0
lethal,q_learning,0.99,0,0,20,0
lethal,q_learning,0.991,0.05,0.05,20,0.05
lethal,q_learning,0.992,0,0,20,0
lethal,q_learning,0.994,0,0,20,0
lethal,q_learning,0.996,0,0,20,0
lethal,q_learning,0.998,0.05,0.05,20,0.05
lethal,q_learning,1,0,0,20,0
lethal,sarsa,0.97,0,0,20,0
lethal,sarsa,0.98,0,0,20,0
lethal,sarsa,0.984,0,0,20,0
lethal,sarsa,0.986,0,0,20,0
lethal,sarsa,0.988,0,0,20,0
lethal,sarsa,0.989,0,0,20,0
lethal,sarsa,0.9895,0,0,20,0
lethal,sarsa,0.99,0.05,0,20,0.05
lethal,sarsa,0.991,0,0,20,0
lethal,sarsa,0.992,0,0,20,0
lethal,sarsa,0.994,0,0,20,0
lethal,sarsa,0.996,0,0,20,0
lethal,sarsa,0.998,0,0,20,0
lethal,sarsa,1,0,0,20,0
recoverable,expected_sarsa,0.6,0,0,20,0
recoverable,expected_sarsa,0.7,0,0,20,0
recoverable,expected_sarsa,0.78,0,0,20,0
recoverable,expected_sarsa,0.79,0.05,0.05,20,0.05
recoverable,expected_sarsa,0.8,0,0,20,0
recoverable,expected_sarsa,0.805,0,0,20,0
recoverable,expected_sarsa,0.81,0.2,0.2,20,0.2
recoverable,expected_sarsa,0.82,0.15,0.15,20,0.15
recoverable,expected_sarsa,0.825,0.25,0.25,20,0.25
recoverable,expected_sarsa,0.835,0.15,0.15,20,0.15
recoverable,expected_sarsa,0.84,0.45,0.45,20,0.45
recoverable,expected_sarsa,0.845,0.3,0.3,20,0.3
recoverable,expected_sarsa,0.85,0.65,0.65,20,0.65
recoverable,expected_sarsa,0.855,0.55,0.55,20,0.55
recoverable,expected_sarsa,0.86,0.5,0.5,20,0.5
recoverable,expected_sarsa,0.88,0.35,0.35,20,0.35
recoverable,expected_sarsa,0.9,0.05,0.05,20,0.05
recoverable,expected_sarsa,1,0,0,20,0
recoverable,q_learning,0.6,0,0,20,0
recoverable,q_learning,0.7,0,0,20,0
recoverable,q_learning,0.78,0.05,0.05,20,0.05
recoverable,q_learning,0.79,0,0,20,0
recoverable,q_learning,0.8,0.05,0.05,20,0.05
recoverable,q_learning,0.805,0.3,0.3,20,0.3
recoverable,q_learning,0.81,0.5,0.5,20,0.5
recoverable,q_learning,0.82,0.55,0.55,20,0.55
recoverable,q_learning,0.825,0.65,0.65,20,0.65
recoverable,q_learning,0.835,0.3,0.3,20,0.3
recoverable,q_learning,0.84,0,0,20,0
recoverable,q_learning,0.845,0,0,20,0
recoverable,q_learning,0.85,0.05,0.05,20,0.05
recoverable,q_learning,0.855,0,0,20,0
recoverable,q_learning,0.86,0,0,20,0
recoverable,q_learning,0.88,0,0,20,0
recoverable,q_learning,0.9,0,0,20,0
recoverable,q_learning,1,0,0,20,0
recoverable,sarsa,0.6,0,0,20,0
recoverable,sarsa,0.7,0,0,20,0
recoverable,sarsa,0.78,0,0,20,0
recoverable,sarsa,0.79,0.05,0.05,20,0.05
recoverable,sarsa,0.8,0,0,20,0
recoverable,sarsa,0.805,0.1,0.1,20,0.1
recoverable,sarsa,0.81,0.2,0.2,20,0.2
recoverable,sarsa,0.82,0.1,0.1,20,0.1
recoverable,sarsa,0.825,0.2,0.2,20,0.2
recoverable,sarsa,0.835,0.5,0.5,20,0.5
recoverable,sarsa,0.84,0.35,0.35,20,0.35
recoverable,sarsa,0.845,0.55,0.55,20,0.55
recoverable,sarsa,0.85,0.45,0.45,20,0.45
recoverable,sarsa,0.855,0.35,0.35,20,0.35
recoverable,sarsa,0.86,0.55,0.55,20,0.55
recoverable,sarsa,0.88,0.35,0.35,20,0.35
recoverable,sarsa,0.9,0.05,0.05,20,0.05
recoverable,sarsa,1,0,0,20,0
