hazard_mode,agent,reliability,evaluation_policy_mode,evaluation_episodes,terminated_episodes,truncated_episodes,truncation_rate
lethal,expected_sarsa,0.97,behavior,500,500,0,0
lethal,expected_sarsa,0.97,greedy,500,500,0,0
lethal,expected_sarsa,0.98,behavior,500,500,0,0
lethal,expected_sarsa,0.98,greedy,500,500,0,0
lethal,expected_sarsa,0.984,behavior,500,500,0,0
lethal,expected_sarsa,0.984,greedy,500,500,0,0
lethal,expected_sarsa,0.986,behavior,500,500,0,0
lethal,expected_sarsa,0.986,greedy,500,500,0,0
lethal,expected_sarsa,0.988,behavior,500,500,0,0
lethal,expected_sarsa,0.988,greedy,500,500,0,0
lethal,expected_sarsa,0.989,behavior,500,500,0,0
lethal,expected_sarsa,0.989,greedy,500,500,0,0
lethal,expected_sarsa,0.9895,behavior,500,500,0,0
lethal,expected_sarsa,0.9895,greedy,500,500,0,0
lethal,expected_sarsa,0.99,behavior,500,500,0,0
lethal,expected_sarsa,0.99,greedy,500,500,0,0
lethal,expected_sarsa,0.991,behavior,500,500,0,0
lethal,expected_sarsa,0.991,greedy,500,500,0,0
lethal,expected_sarsa,0.992,behavior,500,500,0,0
lethal,expected_sarsa,0.992,greedy,500,500,0,0
lethal,expected_sarsa,0.994,behavior,500,500,0,0
lethal,expected_sarsa,0.994,greedy,500,500,0,0
lethal,expected_sarsa,0.996,behavior,500,500,0,0
lethal,expected_sarsa,0.996,greedy,500,500,0,0
lethal,expected_sarsa,0.998,behavior,500,500,0,0
lethal,expected_sarsa,0.998,greedy,500,500,0,0
lethal,expected_sarsa,1,behavior,500,500,0,0
lethal,expected_sarsa,1,greedy,500,500,0,0
lethal,q_learning,0.97,behavior,500,500,0,0
lethal,q_learning,0.97,greedy,500,500,0,0
lethal,q_learning,0.98,behavior,500,500,0,0
lethal,q_learning,0.98,greedy,500,500,0,0
lethal,q_learning,0.984,behavior,500,500,0,0
lethal,q_learning,0.984,greedy,500,500,0,0
lethal,q_learning,0.986,behavior,500,500,0,0
lethal,q_learning,0.986,greedy,500,500,0,0
lethal,q_learning,0.988,behavior,500,500,0,0
lethal,q_learning,0.988,greedy,500,500,0,0
lethal,q_learning,0.989,behavior,500,500,0,0
lethal,q_learning,0.989,greedy,500,500,0,0
lethal,q_learning,0.9895,behavior,500,500,0,0
lethal,q_learning,0.9895,greedy,500,500,0,0
lethal,q_learning,0.99,behavior,500,500,0,0
lethal,q_learning,0.99,greedy,500,500,0,0
lethal,q_learning,0.991,behavior,500,500,0,0
lethal,q_learning,0.991,greedy,500,500,0,0
lethal,q_learning,0.992,behavior,500,500,0,0
lethal,q_learning,0.992,greedy,500,500,0,0
lethal,q_learning,0.994,behavior,500,500,0,0
lethal,q_learning,0.994,greedy,500,500,0,0
lethal,q_learning,0.996,behavior,500,500,0,0
lethal,q_learning,0.996,greedy,500,500,0,0
lethal,q_learning,0.998,behavior,500,500,0,0
lethal,q_learning,0.998,greedy,500,500,0,0
lethal,q_learning,1,behavior,500,500,0,0
lethal,q_learning,1,greedy,500,500,0,0
lethal,sarsa,0.97,behavior,500,500,0,0
lethal,sarsa,0.97,greedy,500,500,0,0
lethal,sarsa,0.98,behavior,500,500,0,0
lethal,sarsa,0.98,greedy,500,500,0,0
lethal,sarsa,0.984,behavior,500,500,0,0
lethal,sarsa,0.984,greedy,500,500,0,0
lethal,sarsa,0.986,behavior,500,500,0,0
lethal,sarsa,0.986,greedy,500,500,0,0
lethal,sarsa,0.988,behavior,500,500,0,0
lethal,sarsa,0.988,greedy,500,500,0,0
lethal,sarsa,0.989,behavior,500,500,0,0
lethal,sarsa,0.989,greedy,500,500,0,0
lethal,sarsa,0.9895,behavior,500,500,0,0
lethal,sarsa,0.9895,greedy,500,500,0,0
lethal,sarsa,0.99,behavior,500,500,0,0
lethal,sarsa,0.99,greedy,500,497,3,0.006
lethal,sarsa,0.991,behavior,500,500,0,0
lethal,sarsa,0.991,greedy,500,500,0,0
lethal,sarsa,0.992,behavior,500,500,0,0
lethal,sarsa,0.992,greedy,500,500,0,0
lethal,sarsa,0.994,behavior,500,500,0,0
lethal,sarsa,0.994,greedy,500,500,0,0
lethal,sarsa,0.996,behavior,500,500,0,0
lethal,sarsa,0.996,greedy,500,500,0,0
lethal,sarsa,0.998,behavior,500,500,0,0
lethal,sarsa,0.998,greedy,500,500,0,0
lethal,sarsa,1,behavior,500,500,0,0
lethal,sarsa,1,greedy,500,500,0,0
recoverable,expected_sarsa,0.6,behavior,500,500,0,0
recoverable,expected_sarsa,0.6,greedy,500,500,0,0
recoverable,expected_sarsa,0.7,behavior,500,500,0,0
recoverable,expected_sarsa,0.7,greedy,500,500,0,0
recoverable,expected_sarsa,0.78,behavior,500,500,0,0
recoverable,expected_sarsa,0.78,greedy,500,500,0,0
recoverable,expected_sarsa,0.79,behavior,500,500,0,0
recoverable,expected_sarsa,0.79,greedy,500,500,0,0
recoverable,expected_sarsa,0.8,behavior,500,500,0,0
recoverable,expected_sarsa,0.8,greedy,500,500,0,0
recoverable,expected_sarsa,0.805,behavior,500,500,0,0
recoverable,expected_sarsa,0.805,greedy,500,500,0,0
recoverable,expected_sarsa,0.81,behavior,500,500,0,0
recoverable,expected_sarsa,0.81,greedy,500,500,0,0
recoverable,expected_sarsa,0.82,behavior,500,500,0,0
recoverable,expected_sarsa,0.82,greedy,500,500,0,0
recoverable,expected_sarsa,0.825,behavior,500,500,0,0
recoverable,expected_sarsa,0.825,greedy,500,500,0,0
recoverable,expected_sarsa,0.835,behavior,500,500,0,0
recoverable,expected_sarsa,0.835,greedy,500,500,0,0
recoverable,expected_sarsa,0.84,behavior,500,500,0,0
recoverable,expected_sarsa,0.84,greedy,500,500,0,0
recoverable,expected_sarsa,0.845,behavior,500,500,0,0
recoverable,expected_sarsa,0.845,greedy,500,500,0,0
recoverable,expected_sarsa,0.85,behavior,500,500,0,0
recoverable,expected_sarsa,0.85,greedy,500,500,0,0
recoverable,expected_sarsa,0.855,behavior,500,500,0,0
recoverable,expected_sarsa,0.855,greedy,500,500,0,0
recoverable,expected_sarsa,0.86,behavior,500,500,0,0
recoverable,expected_sarsa,0.86,greedy,500,500,0,0
recoverable,expected_sarsa,0.88,behavior,500,500,0,0
recoverable,expected_sarsa,0.88,greedy,500,500,0,0
recoverable,expected_sarsa,0.9,behavior,500,500,0,0
recoverable,expected_sarsa,0.9,greedy,500,500,0,0
recoverable,expected_sarsa,1,behavior,500,500,0,0
recoverable,expected_sarsa,1,greedy,500,500,0,0
recoverable,q_learning,0.6,behavior,500,500,0,0
recoverable,q_learning,0.6,greedy,500,500,0,0
recoverable,q_learning,0.7,behavior,500,500,0,0
recoverable,q_learning,0.7,greedy,500,500,0,0
recoverable,q_learning,0.78,behavior,500,500,0,0
recoverable,q_learning,0.78,greedy,500,500,0,0
recoverable,q_learning,0.79,behavior,500,500,0,0
recoverable,q_learning,0.79,greedy,500,500,0,0
recoverable,q_learning,0.8,behavior,500,500,0,0
recoverable,q_learning,0.8,greedy,500,500,0,0
recoverable,q_learning,0.805,behavior,500,500,0,0
recoverable,q_learning,0.805,greedy,500,500,0,0
recoverable,q_learning,0.81,behavior,500,500,0,0
recoverable,q_learning,0.81,greedy,500,500,0,0
recoverable,q_learning,0.82,behavior,500,500,0,0
recoverable,q_learning,0.82,greedy,500,500,0,0
recoverable,q_learning,0.825,behavior,500,500,0,0
recoverable,q_learning,0.825,greedy,500,500,0,0
recoverable,q_learning,0.835,behavior,500,500,0,0
recoverable,q_learning,0.835,greedy,500,500,0,0
recoverable,q_learning,0.84,behavior,500,500,0,0
recoverable,q_learning,0.84,greedy,500,500,0,0
