hazard_mode,agent,reliability,n_policies,unresolved_count,unresolved_rate,condition_limit,passes
lethal,expected_sarsa,0.97,20,0,0,0.2,True
lethal,expected_sarsa,0.98,20,0,0,0.2,True
lethal,expected_sarsa,0.984,20,0,0,0.2,True
lethal,expected_sarsa,0.986,20,0,0,0.2,True
lethal,expected_sarsa,0.988,20,0,0,0.2,True
lethal,expected_sarsa,0.989,20,0,0,0.2,True
lethal,expected_sarsa,0.9895,20,0,0,0.2,True
lethal,expected_sarsa,0.99,20,0,0,0.2,True
lethal,expected_sarsa,0.991,20,0,0,0.2,True
lethal,expected_sarsa,0.992,20,0,0,0.2,True
lethal,expected_sarsa,0.994,20,0,0,0.2,True
lethal,expected_sarsa,0.996,20,0,0,0.2,True
lethal,expected_sarsa,0.998,20,0,0,0.2,True
lethal,expected_sarsa,1,20,0,0,0.2,True
lethal,q_learning,0.97,20,0,0,0.2,True
lethal,q_learning,0.98,20,0,0,0.2,True
lethal,q_learning,0.984,20,0,0,0.2,True
lethal,q_learning,0.986,20,0,0,0.2,True
lethal,q_learning,0.988,20,0,0,0.2,True
lethal,q_learning,0.989,20,0,0,0.2,True
lethal,q_learning,0.9895,20,0,0,0.2,True
lethal,q_learning,0.99,20,0,0,0.2,True
lethal,q_learning,0.991,20,0,0,0.2,True
lethal,q_learning,0.992,20,0,0,0.2,True
lethal,q_learning,0.994,20,0,0,0.2,True
lethal,q_learning,0.996,20,0,0,0.2,True
lethal,q_learning,0.998,20,0,0,0.2,True
lethal,q_learning,1,20,0,0,0.2,True
lethal,sarsa,0.97,20,0,0,0.2,True
lethal,sarsa,0.98,20,0,0,0.2,True
lethal,sarsa,0.984,20,0,0,0.2,True
lethal,sarsa,0.986,20,0,0,0.2,True
lethal,sarsa,0.988,20,0,0,0.2,True
lethal,sarsa,0.989,20,0,0,0.2,True
lethal,sarsa,0.9895,20,0,0,0.2,True
lethal,sarsa,0.99,20,1,0.05,0.2,True
lethal,sarsa,0.991,20,0,0,0.2,True
lethal,sarsa,0.992,20,0,0,0.2,True
lethal,sarsa,0.994,20,0,0,0.2,True
lethal,sarsa,0.996,20,0,0,0.2,True
lethal,sarsa,0.998,20,0,0,0.2,True
lethal,sarsa,1,20,0,0,0.2,True
recoverable,expected_sarsa,0.6,20,0,0,0.2,True
recoverable,expected_sarsa,0.7,20,0,0,0.2,True
recoverable,expected_sarsa,0.78,20,0,0,0.2,True
recoverable,expected_sarsa,0.79,20,0,0,0.2,True
recoverable,expected_sarsa,0.8,20,0,0,0.2,True
recoverable,expected_sarsa,0.805,20,0,0,0.2,True
recoverable,expected_sarsa,0.81,20,0,0,0.2,True
recoverable,expected_sarsa,0.82,20,0,0,0.2,True
recoverable,expected_sarsa,0.825,20,0,0,0.2,True
recoverable,expected_sarsa,0.835,20,0,0,0.2,True
recoverable,expected_sarsa,0.84,20,0,0,0.2,True
recoverable,expected_sarsa,0.845,20,0,0,0.2,True
recoverable,expected_sarsa,0.85,20,0,0,0.2,True
recoverable,expected_sarsa,0.855,20,0,0,0.2,True
recoverable,expected_sarsa,0.86,20,0,0,0.2,True
recoverable,expected_sarsa,0.88,20,0,0,0.2,True
recoverable,expected_sarsa,0.9,20,0,0,0.2,True
recoverable,expected_sarsa,1,20,0,0,0.2,True
recoverable,q_learning,0.6,20,0,0,0.2,True
recoverable,q_learning,0.7,20,0,0,0.2,True
recoverable,q_learning,0.78,20,0,0,0.2,True
recoverable,q_learning,0.79,20,0,0,0.2,True
recoverable,q_learning,0.8,20,0,0,0.2,True
recoverable,q_learning,0.805,20,0,0,0.2,True
recoverable,q_learning,0.81,20,0,0,0.2,True
recoverable,q_learning,0.82,20,0,0,0.2,True
recoverable,q_learning,0.825,20,0,0,0.2,True
recoverable,q_learning,0.835,20,0,0,0.2,True
recoverable,q_learning,0.84,20,0,0,0.2,True
recoverable,q_learning,0.845,20,0,0,0.2,True
recoverable,q_learning,0.85,20,0,0,0.2,True
recoverable,q_learning,0.855,20,0,0,0.2,True
recoverable,q_learning,0.86,20,0,0,0.2,True
recoverable,q_learning,0.88,20,0,0,0.2,True
recoverable,q_learning,0.9,20,0,0,0.2,True
recoverable,q_learning,1,20,0,0,0.2,True
recoverable,sarsa,0.6,20,0,0,0.2,True
recoverable,sarsa,0.7,20,0,0,0.2,True
recoverable,sarsa,0.78,20,0,0,0.2,True
recoverable,sarsa,0.79,20,0,0,0.2,True
recoverable,sarsa,0.8,20,0,0,0.2,True
recoverable,sarsa,0.805,20,0,0,0.2,True
recoverable,sarsa,0.81,20,0,0,0.2,True
recoverable,sarsa,0.82,20,0,0,0.2,True
recoverable,sarsa,0.825,20,0,0,0.2,True
recoverable,sarsa,0.835,20,0,0,0.2,True
recoverable,sarsa,0.84,20,0,0,0.2,True
recoverable,sarsa,0.845,20,0,0,0.2,True
recoverable,sarsa,0.85,20,0,0,0.2,True
recoverable,sarsa,0.855,20,0,0,0.2,True
recoverable,sarsa,0.86,20,0,0,0.2,True
recoverable,sarsa,0.88,20,0,0,0.2,True
recoverable,sarsa,0.9,20,0,0,0.2,True
recoverable,sarsa,1,20,0,0,0.2,True
